drug,extracted_class
perampanel,noncompetitive ampa glutamate receptor antagonist
cisatracurium,nondepolarizing neuromuscular blocker
cisat,nondepolarizing neuromuscular blocker
rose- cisatracurium,nondepolarizing neuromuscular blocker
rocuronium,nondepolarizing neuromuscular blocker
vecuronium bromide,nondepolarizing neuromuscular blocker
cisatracurium besylate,nondepolarizing neuromuscular blocker
pramipexole,nonergot dopamine agonist
pram,nonergot dopamine agonist
ropinirole,nonergot dopamine agonist
requip xl,nonergot dopamine agonist
requip,nonergot dopamine agonist
meloxicam,nonsteroidal anti-inflammatory drug
diclofenac sodium dr,nonsteroidal anti-inflammatory drug
acular,nonsteroidal anti-inflammatory drug
acular ls,nonsteroidal anti-inflammatory drug
etodolac,nonsteroidal anti-inflammatory drug
mobic,nonsteroidal anti-inflammatory drug
ketorola,nonsteroidal anti-inflammatory drug
*nf* ketorolac 0.5% ophth soln,nonsteroidal anti-inflammatory drug
oxaprozin,nonsteroidal anti-inflammatory drug
flurbiprofen 0.03%,nonsteroidal anti-inflammatory drug
ketorolac tromethamine,nonsteroidal anti-inflammatory drug
celebrex,nonsteroidal anti-inflammatory drug
diclofenac topical gel 1%,nonsteroidal anti-inflammatory drug
ketorolac,nonsteroidal anti-inflammatory drug
naproxen,nonsteroidal anti-inflammatory drug
nabumetone,nonsteroidal anti-inflammatory drug
sulindac,nonsteroidal anti-inflammatory drug
celecoxib,nonsteroidal anti-inflammatory drug
ibup,nonsteroidal anti-inflammatory drug
*nf* celecoxib,nonsteroidal anti-inflammatory drug
ketorolac (pf),nonsteroidal anti-inflammatory drug
ketorolac 0.5% opth solution,nonsteroidal anti-inflammatory drug
indomethacin xr,nonsteroidal anti-inflammatory drug
diclofenac sodium,nonsteroidal anti-inflammatory drug
ibu,nonsteroidal anti-inflammatory drug
ibuprofen suspension,nonsteroidal anti-inflammatory drug
advil,nonsteroidal anti-inflammatory drug
ibupro,nonsteroidal anti-inflammatory drug
piroxicam,nonsteroidal anti-inflammatory drug
ibuprofen,nonsteroidal anti-inflammatory drug
indomethacin,nonsteroidal anti-inflammatory drug
ketorolac 0.5% ophth soln,nonsteroidal anti-inflammatory drug
atom,norepinephrine reuptake inhibitor
atomox,norepinephrine reuptake inhibitor
strattera,norepinephrine reuptake inhibitor
atomoxetine,norepinephrine reuptake inhibitor
flucytosine,nucleoside analog antifungal
flucytos,nucleoside analog antifungal
trifluridine,nucleoside analog antiviral
ribavirin,nucleoside analog antiviral
trifluridine 1% ophth soln.,nucleoside analog antiviral
*nf* capecitabine,nucleoside metabolic inhibitor
fluorouracil *continuous infusion *,nucleoside metabolic inhibitor
mercaptopurine,nucleoside metabolic inhibitor
clofarabine,nucleoside metabolic inhibitor
capecitabine,nucleoside metabolic inhibitor
inv-fludarabine,nucleoside metabolic inhibitor
azacitidine (subcut),nucleoside metabolic inhibitor
xeloda,nucleoside metabolic inhibitor
fluorouracil,nucleoside metabolic inhibitor
gemcitabine,nucleoside metabolic inhibitor
decitabine,nucleoside metabolic inhibitor
carac,nucleoside metabolic inhibitor
fludarabine phosphate,nucleoside metabolic inhibitor
azacitidine,nucleoside metabolic inhibitor
pentostatin,nucleoside metabolic inhibitor
*nf* pentostatin,nucleoside metabolic inhibitor
cytarabine,nucleoside metabolic inhibitor
lipos daunorub-cytara (vyxeos),nucleoside metabolic inhibitor
azacitidine (iv),nucleoside metabolic inhibitor
hydromorphone oral soln,opioid agonist
oxycodone (concentrated oral soln),opioid agonist
hydromorphone-hp,opioid agonist
oxycodone,opioid agonist
imod,opioid agonist
oxycodone liquid,opioid agonist
hydromorphone (oral solution) 1 mg/1 ml,opioid agonist
codeine sulfate,opioid agonist
morphine sulfate ,opioid agonist
mepe,opioid agonist
opium tincture (morphine 10 mg/ml),opioid agonist
oxycodone (immediate release) ,opioid agonist
tylenol-codeine #3,opioid agonist
nucynta (tapentadol),opioid agonist
fentanyl patch,opioid agonist
methadone,opioid agonist
percocet,opioid agonist
methadone ,opioid agonist
tramadol (ultram),opioid agonist
morphine sulfate,opioid agonist
oxycontin,opioid agonist
morphine sulfate (oral soln.),opioid agonist
acetaminophen w/codeine,opioid agonist
ms contin,opioid agonist
hydromorphone ,opioid agonist
morphine sr (ms contin),opioid agonist
methadone (oral solution)  2 mg/1 ml,opioid agonist
oxycodone (immediate release),opioid agonist
methadone (concentrated oral solution) 10 mg/1 ml,opioid agonist
methadone inj,opioid agonist
oxycodone-acetaminophen,opioid agonist
oxycodone sr (oxcontin),opioid agonist
hydrocodone-acetaminophen (5mg-325mg),opioid agonist
methadone (concentrated oral solution),opioid agonist
loperamide,opioid agonist
methadone oral liquid,opioid agonist
morphine sulfate (concentrated oral solution) 20 mg/ml,opioid agonist
morph,opioid agonist
morphin,opioid agonist
morphine sulfate ir,opioid agonist
tapentadol,opioid agonist
trama,opioid agonist
oxycodone--acetaminophen (5mg-325mg),opioid agonist
tramadol,opioid agonist
methadone hcl (concentrated oral solution),opioid agonist
oxycodone-acetaminophen ,opioid agonist
morphine sulfate (oral solution) 2 mg/ml,opioid agonist
fentanyl citrate,opioid agonist
meth,opioid agonist
morphine sulfat,opioid agonist
morphine sulfate (,opioid agonist
loperamide suspension,opioid agonist
hydromorphone (dilaudid),opioid agonist
oxycod,opioid agonist
oxycodon,opioid agonist
tram,opioid agonist
methadone intensol,opioid agonist
oxycodone sr (oxycontin),opioid agonist
fentanyl citrate (pf),opioid agonist
hydromorphone,opioid agonist
morphi,opioid agonist
hydromorphone p.f.,opioid agonist
meper,opioid agonist
meperidine,opioid agonist
morphine,opioid agonist
morphine su,opioid agonist
morphine sulfate (concentrated oral soln),opioid agonist
oxycodone-acetaminophen (5mg-325mg),opioid agonist
fentanyl citrate transmucosal lozenge,opioid agonist
imodium,opioid agonist
mod-oxycodone,opioid agonist
fentanyl,opioid agonist
morphine sulfa,opioid agonist
hydromorphon,opioid agonist
morphine concentrate,opioid agonist
loper,opioid agonist
morphine sulfate for inhalation,opioid agonist
hydromorph,opioid agonist
acetaminophen w/codeine elixir,opioid agonist
2,opioid agonist
morphine sulfate (rectal),opioid agonist
morphine sulfate (syringe),opioid agonist
oxycodone ,opioid agonist
morphine sulfate pf,opioid agonist
actiq,opioid agonist
morphine ,opioid agonist
meperi,opioid agonist
methado,opioid agonist
hydromorphone (rectal),opioid agonist
morp,opioid agonist
chlorpheniramine-hydrocodone,opioid agonist
methad,opioid agonist
hydromo,opioid agonist
fentanyl intradermal,opioid agonist
meperidine (pf),opioid agonist
tra,opioid agonist
fentora,opioid agonist
morphine s,opioid agonist
morphine sulfate (immediate release),opioid agonist
opium tincture,opioid agonist
hydromorp,opioid agonist
codeine,opioid agonist
metha,opioid agonist
oxycodone-acetaminophen elixir,opioid agonist
morphine sul,opioid agonist
hydrocodone-chlorpheniramine,opioid agonist
morphine sulf,opioid agonist
methadon,opioid agonist
dilaudid,opioid agonist
nalbuphine hcl,opioid agonist/antagonist
naltrexone,opioid antagonist
methylnal,opioid antagonist
naloxone,opioid antagonist
alvimopan,opioid antagonist
buprenorphine-naloxone tablet,opioid antagonist
buprenorphine-naloxone tablet (2mg-0.5mg),opioid antagonist
buprenorphine-naloxone table,opioid antagonist
narcan,opioid antagonist
methylnaltrexone,opioid antagonist
relpax,opioid antagonist
naloxone nasal spray,opioid antagonist
suvurexant,orexin receptor antagonist
suvorexant,orexin receptor antagonist
suvorexant (mk-4305),orexin receptor antagonist
tecovirimat (expanded access),orthopoxvirus vp37 envelope wrapping protein inhibitor
tecovirimat,orthopoxvirus vp37 envelope wrapping protein inhibitor
inv-tecovirimat,orthopoxvirus vp37 envelope wrapping protein inhibitor
mannitol 20%,osmotic diuretic
mannitol 20 %,osmotic diuretic
mannitol,osmotic diuretic
golytely,osmotic laxative
normal saline flush,osmotic laxative
potassium chl 20 meq / 1000 ml d5 1/2 ns,osmotic laxative
d5lr,osmotic laxative
lactulo,osmotic laxative
sodium chloride,osmotic laxative
sodium bica,osmotic laxative
sodium bicar,osmotic laxative
sodium chloride 0.9%  flush for crrt,osmotic laxative
potassium chl 20 meq / 1000 ml ns,osmotic laxative
sodium chloride (2 meq/100 ml),osmotic laxative
sodium chloride ,osmotic laxative
sodium acetate,osmotic laxative
d5 1/2ns,osmotic laxative
(0.9% nacl),osmotic laxative
normal,osmotic laxative
sodium chloride 0.9 % inhaled,osmotic laxative
sodium b,osmotic laxative
sodium chloride 0.9%,osmotic laxative
sodium chloride 0.9% (sterile),osmotic laxative
sodium chloride 0.9%  flush,osmotic laxative
sodium chloride 0.9 %,osmotic laxative
sodium bi,osmotic laxative
sodiu,osmotic laxative
sodium chloride 0.9% (p.f.),osmotic laxative
sod,osmotic laxative
combigan,osmotic laxative
lactulose,osmotic laxative
lactated ringers,osmotic laxative
ns,osmotic laxative
sodium chloride 23.4%,osmotic laxative
sodium bicarb,osmotic laxative
sodium bicarbo,osmotic laxative
sodium chloride 3%,osmotic laxative
0.9% sodium chloride,osmotic laxative
sodium chloride 3% inhalation soln,osmotic laxative
0.9% sodium chloride (mini bag plus),osmotic laxative
0.45 % sodium chloride,osmotic laxative
plasma-lyte a (ph 7.4),osmotic laxative
ns (mini bag plus),osmotic laxative
d5ns,osmotic laxative
sodium chloride 3% (hypertonic),osmotic laxative
1/2 ns,osmotic laxative
lr,osmotic laxative
sodium bicarbon,osmotic laxative
potassium chl 20 meq / 1000 ml d5lr,osmotic laxative
sodium bic,osmotic laxative
lactulose enema,osmotic laxative
ns (irrigation bottle),osmotic laxative
suprep bowel prep kit,osmotic laxative
sodium ,osmotic laxative
sodium,osmotic laxative
0.45% sodium chloride,osmotic laxative
ns epidural bag (0.9% nacl),osmotic laxative
d5 1/4ns,osmotic laxative
normal sal,osmotic laxative
potassium chl 40 meq / 1000 ml ns,osmotic laxative
hespan,osmotic laxative
sodium bicarbonate,osmotic laxative
plasmalyte,osmotic laxative
linezolid desensitization,oxazolidinone antibacterial
tedizolid,oxazolidinone antibacterial
linezolid,oxazolidinone antibacterial
linezolid suspension,oxazolidinone antibacterial
linezolid antibiotic lock,oxazolidinone antibacterial
methylene blue (antidote),oxidation-reduction agent
methylene blue 0.5%,oxidation-reduction agent
methylene ,oxidation-reduction agent
methylene blu,oxidation-reduction agent
methylene blue 1%,oxidation-reduction agent
methylene blue,oxidation-reduction agent
methylene blue ,oxidation-reduction agent
pitocin,oxytocic
oxytocin,oxytocic
prasugrel,p2y12 platelet inhibitor
clopidogrel desensitization,p2y12 platelet inhibitor
clopidogrel 75mg,p2y12 platelet inhibitor
clopidopgrel 75mg ,p2y12 platelet inhibitor
clopidigrel 75mg,p2y12 platelet inhibitor
plavix,p2y12 platelet inhibitor
clopidog,p2y12 platelet inhibitor
cangrelor,p2y12 platelet inhibitor
ticagrelor,p2y12 platelet inhibitor
clopidogril 75mg,p2y12 platelet inhibitor
inv-clopidogrel,p2y12 platelet inhibitor
effient,p2y12 platelet inhibitor
clopidogrel,p2y12 platelet inhibitor
clopidogrel75mg,p2y12 platelet inhibitor
brilinta,p2y12 platelet inhibitor
clopidogrel 75 mg,p2y12 platelet inhibitor
clopidogrel bisulfate,p2y12 platelet inhibitor
clopidigrel 75mg po,p2y12 platelet inhibitor
forteo,parathyroid hormone analog
teriparatide,parathyroid hormone analog
ferumoxytol,parenteral iron replacement
ferric gluconate desensitization,parenteral iron replacement
ferric citrate,parenteral iron replacement
auryxia,parenteral iron replacement
*nf* iron sucrose,parenteral iron replacement
feraheme,parenteral iron replacement
iron dextran (test dose),parenteral iron replacement
iron dextran complex,parenteral iron replacement
ferric gluconate,parenteral iron replacement
iron sucrose,parenteral iron replacement
iron dextran,parenteral iron replacement
belbuca,partial opioid agonist
suboxone,partial opioid agonist
buprenorphine-naloxone film ,partial opioid agonist
buprenorphine hcl (bulk),partial opioid agonist
buprenorphine-naloxone ,partial opioid agonist
buprenorphine-naloxone (8mg-2mg),partial opioid agonist
buprenorphine-naloxone film (8mg-2mg),partial opioid agonist
butrans,partial opioid agonist
bupreno,partial opioid agonist
buprenorphine-naloxone film (12mg-3mg),partial opioid agonist
buprenorp,partial opioid agonist
buprenorphine-naloxone tablet,partial opioid agonist
bupr,partial opioid agonist
buprenorphine hcl,partial opioid agonist
buprenorphine-naloxone,partial opioid agonist
buprenor,partial opioid agonist
buprenorphine-naloxone film (2mg-0.5mg),partial opioid agonist
buprenorphine-naloxone film (4mg-1mg),partial opioid agonist
buprenex,partial opioid agonist
buprenorphine-naloxone tablet (8mg-2mg),partial opioid agonist
buprenorphine,partial opioid agonist
buprenorphine-naloxone (2mg-0.5mg),partial opioid agonist
buprenorphine-naloxone tablet (2mg-0.5mg),partial opioid agonist
meropenem,penem antibacterial
imipenem-cilastatin-relebactam,penem antibacterial
imipenem-cilastatin-relebactam (recarbrio) *nf*,penem antibacterial
meropenem graded challenge,penem antibacterial
ertapenem graded challenge,penem antibacterial
imipenem-cilastatin,penem antibacterial
imipenem-cilastatin *nf*,penem antibacterial
imipenem-cilastatin-relebactam *nf*,penem antibacterial
*nf* ertapenem sodium,penem antibacterial
ertapenem oral solution,penem antibacterial
ertapenem sodium,penem antibacterial
meropenem desensitization,penem antibacterial
ertapenem,penem antibacterial
penicillin ,penicillin-class antibacterial
amoxicill,penicillin-class antibacterial
nafcillin,penicillin-class antibacterial
nafcillin desensitization,penicillin-class antibacterial
amoxicillin,penicillin-class antibacterial
dicloxacillin,penicillin-class antibacterial
penicillin g benzathine,penicillin-class antibacterial
ampicillin sodium,penicillin-class antibacterial
ampicillin-sulbact graded challenge,penicillin-class antibacterial
amoxicillin-clavulanic acid,penicillin-class antibacterial
piperacillin-tazobactam,penicillin-class antibacterial
ampicillin desensitization,penicillin-class antibacterial
penicillin g potassium,penicillin-class antibacterial
nafcillin graded challenge,penicillin-class antibacterial
amoxic,penicillin-class antibacterial
amoxicillin-pot clavulanate,penicillin-class antibacterial
penicillin g k desensitization,penicillin-class antibacterial
amoxicillin-clavulanate susp.,penicillin-class antibacterial
ampicillin graded challenge,penicillin-class antibacterial
ampicillin-sulbactam sodium,penicillin-class antibacterial
amoxicillin-clavulanate desensitization,penicillin-class antibacterial
ampicillin-sulbactam,penicillin-class antibacterial
amoxicillin oral susp.,penicillin-class antibacterial
penicillin g k graded challenge,penicillin-class antibacterial
ampicillin,penicillin-class antibacterial
ampicillin-sulbact desensitization,penicillin-class antibacterial
penicillin v potassium,penicillin-class antibacterial
augmentin,penicillin-class antibacterial
fenofibrate nanocrystallized,peroxisome proliferator receptor alpha agonist
gemfibrozil,peroxisome proliferator receptor alpha agonist
fenofib,peroxisome proliferator receptor alpha agonist
fenofibrate,peroxisome proliferator receptor alpha agonist
prochlorperazine,phenothiazine
promethazine,phenothiazine
fluphenazine hydrochloride,phenothiazine
fluphenazine,phenothiazine
fluphenazine decanoate,phenothiazine
proch,phenothiazine
thioridazine hcl,phenothiazine
promethazine hcl,phenothiazine
fluphenazine hcl,phenothiazine
chlorpromazine,phenothiazine
trifluoperazine hcl,phenothiazine
perphenazine,phenothiazine
sevelam,phosphate binder
sevelamer ,phosphate binder
sevela,phosphate binder
sevelamer carbonate,phosphate binder
sevelamer hydrochloride,phosphate binder
seve,phosphate binder
sevel,phosphate binder
renvela,phosphate binder
lanthanum,phosphate binder
sevelamer,phosphate binder
renagel,phosphate binder
milrinone lactate,phosphodiesterase 3 inhibitor
pletal,phosphodiesterase 3 inhibitor
cilostazol,phosphodiesterase 3 inhibitor
milrinone,phosphodiesterase 3 inhibitor
daliresp,phosphodiesterase 4 inhibitor
roflumilast,phosphodiesterase 4 inhibitor
silden,phosphodiesterase 5 inhibitor
viagra,phosphodiesterase 5 inhibitor
sild,phosphodiesterase 5 inhibitor
sildenafil,phosphodiesterase 5 inhibitor
tadalafil,phosphodiesterase 5 inhibitor
sildenaf,phosphodiesterase 5 inhibitor
adcirca (tadalafil),phosphodiesterase 5 inhibitor
tadalafil (pulm. hypertension),phosphodiesterase 5 inhibitor
reva,phosphodiesterase 5 inhibitor
rev,phosphodiesterase 5 inhibitor
sildenafil citrate,phosphodiesterase 5 inhibitor
porfimer sodium,photoactivated radical generator
ecallantide,plasma kallikrein inhibitor
kalbitor,plasma kallikrein inhibitor
hespan,plasma volume expander
dextran 40 10% in ns,plasma volume expander
dextran 40 10% in d5w,plasma volume expander
tirofiban,platelet aggregation inhibitor
dipyridamole-aspirin,platelet aggregation inhibitor
dipyridamole,platelet aggregation inhibitor
eptifibatide,platelet aggregation inhibitor
aspirin-dipyridamole,platelet aggregation inhibitor
anagrel,platelet-reducing agent
agrylin,platelet-reducing agent
agrylin (anagrelide) 0.5mg cap,platelet-reducing agent
anagrelide,platelet-reducing agent
cisplatin,platinum-based drug
oxaliplatin desensitization,platinum-based drug
carboplatin,platinum-based drug
carboplatin desensitization,platinum-based drug
oxaliplatin,platinum-based drug
rucaparib,poly(adp-ribose) polymerase inhibitor
olaparib,poly(adp-ribose) polymerase inhibitor
inv-rucaparib,poly(adp-ribose) polymerase inhibitor
mycostatin,polyene antifungal
nystatin oral suspension,polyene antifungal
nystatin-triamcinolone ointment,polyene antifungal
nystat,polyene antifungal
nystatin,polyene antifungal
nystop,polyene antifungal
nystatin-triamcinolone cream,polyene antifungal
nystatin ointment,polyene antifungal
nystatin cream,polyene antifungal
natacyn,polyene antimicrobial
natamycin,polyene antimicrobial
colistin,polymyxin-class antibacterial
bacitracin/polymyxin b sulfate opht. oint,polymyxin-class antibacterial
bacitracin-polymyxin,polymyxin-class antibacterial
polytrim,polymyxin-class antibacterial
polymyxin b -trimethoprim ophth soln,polymyxin-class antibacterial
bacitracin-polymyxin ointment,polymyxin-class antibacterial
aminolevulinic acid,porphyrin precursor
patiromer calcium sorbitex,potassium binder
veltassa,potassium binder
dalfampridine,potassium channel blocker
potassium chl 20 meq / 1000 ml d5ns,potassium salt
pota,potassium salt
potas,potassium salt
potassium chl 20 meq / 1000 ml d5w,potassium salt
potassium chl 40 meq / 1000 ml ns,potassium salt
potassium citrate ert 10 meq tab,potassium salt
potass,potassium salt
potassium,potassium salt
potassium chloride replacement (critical care and oncology),potassium salt
klor-con m20,potassium salt
potassium chloride oral soln,potassium salt
potassium ,potassium salt
potassium citrate,potassium salt
potassium chloride (1 meq/100 ml),potassium salt
potassium phosphate,potassium salt
potassium chloride (powder),potassium salt
potassium chl 40 meq / 1000 ml d5ns,potassium salt
potassium chloride ,potassium salt
potassium acetate,potassium salt
k-dur,potassium salt
potassium chloride replacement (critical care and oncology) ,potassium salt
potassium chloride,potassium salt
potassium chl 40 meq / 1000 ml d5 1/2 ns,potassium salt
amiloride,potassium-sparing diuretic
amiloride hcl,potassium-sparing diuretic
triamterene,potassium-sparing diuretic
triamterene-hydrochlorothiazide,potassium-sparing diuretic
progesterone micronized,progesterone
progest,progesterone
progesterone in oil,progesterone
proges,progesterone
progesterone,progesterone
endometrin (progesterone),progesterone
ulipristal,progesterone agonist/antagonist
norethindrone-ethin estradiol,progestin
makena,progestin
megace oral,progestin
megestrol acetate,progestin
norethindrone,progestin
medroxyprogesterone acetate,progestin
etonogestrel (nexplanon),progestin
norethindrone acetate,progestin
megest,progestin
nexplanon,progestin
megace es,progestin
camila (norethindrone),progestin
noreth,progestin
nortrel 1/35 (28),progestin
megace,progestin
provera,progestin
norethindrone-estradiol,progestin
depo-provera,progestin
hydroxyprogesterone caproate *nf*,progestin
megestrol,progestin
activella,progestin
hydroxyprogesterone caproate,progestin
norethindrone (contraceptive),progestin
mifeprex,progestin antagonist
nivolumab,programmed death receptor-1 blocking antibody
inv-nivolumab,programmed death receptor-1 blocking antibody
pembrolizumab,programmed death receptor-1 blocking antibody
pembrolizumab desensitization,programmed death receptor-1 blocking antibody
atezolizumab,programmed death receptor-1 blocking antibody
inv-pembrolizumab,programmed death receptor-1 blocking antibody
tyvaso,prostacycline vasodilator
treprostinil sodium - patient own cadd pump,prostacycline vasodilator
epoprostenol *nf*,prostacycline vasodilator
epoprostenol na,prostacycline vasodilator
epoprostenol (flolan) *nf*,prostacycline vasodilator
treprostinil,prostacycline vasodilator
treprostinil-nebulizer-accesor,prostacycline vasodilator
treprostinil sodium,prostacycline vasodilator
treprostinil sodium  - patient own pump,prostacycline vasodilator
epoprostenol (veletri),prostacycline vasodilator
epoprostenol,prostacycline vasodilator
xalat,prostaglandin analog
lata,prostaglandin analog
lumigan,prostaglandin analog
latanoprost 0.005% ophth. soln.,prostaglandin analog
hemabate,prostaglandin analog
preservision areds-2,prostaglandin analog
xalatan,prostaglandin analog
alprostadil,prostaglandin analog
travatan z,prostaglandin analog
xal,prostaglandin analog
carboprost tromethamine,prostaglandin analog
travoprost,prostaglandin analog
latanoprost,prostaglandin analog
xala,prostaglandin analog
preservision areds 2,prostaglandin analog
misoprostol,prostaglandin e1 analog
cytotec,prostaglandin e1 analog
darunavir,protease inhibitor
lopinavir-ritonavir,protease inhibitor
lopinavir-ritonavir (oral soln),protease inhibitor
indinavir sulfate,protease inhibitor
atazanavir,protease inhibitor
tipranavir,protease inhibitor
reyataz,protease inhibitor
lexiva,protease inhibitor
indinavir,protease inhibitor
kaletra,protease inhibitor
nelfinavir,protease inhibitor
darunavir ethanolate,protease inhibitor
crixivan,protease inhibitor
viracept,protease inhibitor
nelfinavir mesylate,protease inhibitor
aptivus,protease inhibitor
fosamprenavir,protease inhibitor
darunavir 600mg tablet,protease inhibitor
carfilzomib,proteasome inhibitor
bortezomib,proteasome inhibitor
inv-bortezomib,proteasome inhibitor
pantopra,proton pump inhibitor
pantopr,proton pump inhibitor
pant,proton pump inhibitor
pantoprazol,proton pump inhibitor
prevacid 24hr,proton pump inhibitor
inv-omeprazole,proton pump inhibitor
prevacid solutab,proton pump inhibitor
lansoprazole oral disintegrating tab *nf*,proton pump inhibitor
prevacid,proton pump inhibitor
protonix,proton pump inhibitor
pantoprazo,proton pump inhibitor
prilosec,proton pump inhibitor
omeprazole-sodium bicarbonate,proton pump inhibitor
esomeprazole,proton pump inhibitor
esomeprazole magnesium,proton pump inhibitor
pantoprazole,proton pump inhibitor
nexium,proton pump inhibitor
lansoprazole oral disintegrating tab,proton pump inhibitor
eso,proton pump inhibitor
pantoprazole sodium,proton pump inhibitor
lans,proton pump inhibitor
pantoprazole (granules for dr suspension),proton pump inhibitor
esomeprazole sodium,proton pump inhibitor
esomep,proton pump inhibitor
nexium 40mg capsules,proton pump inhibitor
omeprazole,proton pump inhibitor
lansopraz,proton pump inhibitor
nexium iv,proton pump inhibitor
protonix (granules for dr suspension),proton pump inhibitor
lansoprazole,proton pump inhibitor
lansoprazole ,proton pump inhibitor
lansop,proton pump inhibitor
panto,proton pump inhibitor
vitamin ,provitamin d2 compound
vitamin d2,provitamin d2 compound
ergocalciferol (vitamin d2),provitamin d2 compound
ergocal,provitamin d2 compound
ergocalc,provitamin d2 compound
ergocalcif,provitamin d2 compound
vitamin d2 (ergocalciferol),provitamin d2 compound
vitamin d,provitamin d2 compound
azasan,purine antimetabolite
cladribine,purine antimetabolite
azathioprine,purine antimetabolite
permethrin,pyrethroid
permeth,pyrethroid
permet,pyrethroid
uridine triacetate,pyrimidine analog
foscarnet sodium,pyrophosphate analog dna polymerase inhibitor
ciprodex,quinolone antimicrobial
moxifloxacin 0.5% ophth (*nf*),quinolone antimicrobial
ciprofloxacin 0.3% ophth soln,quinolone antimicrobial
ofloxacin,quinolone antimicrobial
ciprofloxacin ,quinolone antimicrobial
ciprofloxacin hcl,quinolone antimicrobial
moxifloxacin,quinolone antimicrobial
ciprofloxacin iv,quinolone antimicrobial
ciprofl,quinolone antimicrobial
ciprofloxacin 0.3% soln,quinolone antimicrobial
ocuflox,quinolone antimicrobial
cipro,quinolone antimicrobial
vigabatrin,quinolone antimicrobial
vigamox,quinolone antimicrobial
ciloxan,quinolone antimicrobial
vigamox 0.5% ophth (*nf* ),quinolone antimicrobial
ciprofloxacin,quinolone antimicrobial
readi-cat 2 (barium sulfate 2% suspension),radiographic contrast agent
ioversol (optiray 320),radiographic contrast agent
gastr,radiographic contrast agent
neulumex (barium sulfate 0.1% suspension),radiographic contrast agent
iohexol 240,radiographic contrast agent
iohexol 240 (omnipaque 240),radiographic contrast agent
gastrografin,radiographic contrast agent
gastroview (diatrizoate meglumine & sodium),radiographic contrast agent
gastroview,radiographic contrast agent
volumen (barium sulfate 0.1% suspension),radiographic contrast agent
denos,rank ligand inhibitor
denosumab (prolia),rank ligand inhibitor
denosumab (xgeva),rank ligand inhibitor
dornase alfa *nf*,recombinant human deoxyribonuclease 1
dornase alfa,recombinant human deoxyribonuclease 1
*nf* dornase alfa inh. soln.,recombinant human deoxyribonuclease 1
pulmozyme,recombinant human deoxyribonuclease 1
aliskiren,renin inhibitor
palivizumab,respiratory syncytial virus anti-f protein monoclonal antibody
tretinoin (atra-all transretinoic acid),retinoid
ve,retinoid
atra,retinoid
acitretin,retinoid
tretinoin (chemotherapy),retinoid
tretinoin 0.05% cream,retinoid
tretinoin suspension,retinoid
tret,retinoid
tretin,retinoid
tretinoin 0.025% gel,retinoid
bexarotene *nf*,retinoid
tretinoin 0.025% cream,retinoid
tretinoin 0.1% cream,retinoid
"tretinoin (atra, all-transretinoic acid)",retinoid
tretinoin ,retinoid
rifaximin,rifamycin antibacterial
rif,rifamycin antibacterial
xifaxan,rifamycin antibacterial
rifaximin oral suspension,rifamycin antibacterial
rifampin  susp.,rifamycin antibacterial
rifam,rifamycin antibacterial
rifampin desensitization,rifamycin antibacterial
rifamp,rifamycin antibacterial
rifampin,rifamycin antibacterial
rifapentine,rifamycin antimycobacterial
rifabutin,rifamycin antimycobacterial
mupirocin,rna synthetase inhibitor antibacterial
mupir,rna synthetase inhibitor antibacterial
mupirocin ointment 2%,rna synthetase inhibitor antibacterial
bactroban ,rna synthetase inhibitor antibacterial
mupiro,rna synthetase inhibitor antibacterial
mupirocin nasal ointment 2%,rna synthetase inhibitor antibacterial
mupirocin ,rna synthetase inhibitor antibacterial
mupiroci,rna synthetase inhibitor antibacterial
mupi,rna synthetase inhibitor antibacterial
bactroban,rna synthetase inhibitor antibacterial
inv-remdesivir,sars-cov-2 nucleotide analog rna polymerase inhibitor
remdesivir,sars-cov-2 nucleotide analog rna polymerase inhibitor
belatacept,selective t cell costimulation blocker
*nf* abatacept,selective t cell costimulation modulator
abatacept,selective t cell costimulation modulator
inv-abatacept,selective t cell costimulation modulator
fetzima,serotonin and norepinephrine reuptake inhibitor
desvenlafaxine succinate,serotonin and norepinephrine reuptake inhibitor
venlafaxine ,serotonin and norepinephrine reuptake inhibitor
desvenlafaxine,serotonin and norepinephrine reuptake inhibitor
effexor xr,serotonin and norepinephrine reuptake inhibitor
venlafa,serotonin and norepinephrine reuptake inhibitor
effexor,serotonin and norepinephrine reuptake inhibitor
venlafax,serotonin and norepinephrine reuptake inhibitor
levomilnacipran,serotonin and norepinephrine reuptake inhibitor
venlaf,serotonin and norepinephrine reuptake inhibitor
duloxe,serotonin and norepinephrine reuptake inhibitor
venlafaxin,serotonin and norepinephrine reuptake inhibitor
pristiq,serotonin and norepinephrine reuptake inhibitor
cymbalta,serotonin and norepinephrine reuptake inhibitor
duloxetine dr,serotonin and norepinephrine reuptake inhibitor
venlafaxi,serotonin and norepinephrine reuptake inhibitor
venlafaxine xr,serotonin and norepinephrine reuptake inhibitor
duloxetine,serotonin and norepinephrine reuptake inhibitor
venlafaxine,serotonin and norepinephrine reuptake inhibitor
venl,serotonin and norepinephrine reuptake inhibitor
duloxetine ,serotonin and norepinephrine reuptake inhibitor
paroxetine mesylate,serotonin reuptake inhibitor
nefazodone,serotonin reuptake inhibitor
escital,serotonin reuptake inhibitor
zoloft,serotonin reuptake inhibitor
paroxetine,serotonin reuptake inhibitor
citalopram,serotonin reuptake inhibitor
